app_mix,system,numnodes,allocation_mode,allocation_split,ppn,out_format,extra,path
32_node_1MB_100iter_baseline,leonardo,32,l,100,1,csv,32_node_1MB_100iter_baseline,./data/leonardo/2025-10-07_17-49-06-644472
32victim_32aggressor_preemptive_MEDIUM_LINEAR_ALLOC,leonardo,64,l,50:50,1,csv,32victim_32aggressor_preemptive_MEDIUM_LINEAR_ALLOC,./data/leonardo/2025-10-07_17-53-05-297997
32victim_32aggressor_preemptive_interleaved,leonardo,64,i,50:50,1,csv,32victim_32aggressor_preemptive_interleaved,./data/leonardo/2025-10-07_17-57-54-447015
phase1_baseline_weak_scaling_2nodes_1MB,leonardo,2,l,100,1,csv,phase1_baseline_weak_scaling_2nodes_1MB,./data/leonardo/2025-10-07_18-16-30-860544
phase1_baseline_weak_scaling_4nodes_1MB,leonardo,4,l,100,1,csv,phase1_baseline_weak_scaling_4nodes_1MB,./data/leonardo/2025-10-07_18-16-37-803300
phase1_baseline_weak_scaling_8nodes_1MB,leonardo,8,l,100,1,csv,phase1_baseline_weak_scaling_8nodes_1MB,./data/leonardo/2025-10-07_18-16-44-922056
phase1_baseline_weak_scaling_16nodes_1MB,leonardo,16,l,100,1,csv,phase1_baseline_weak_scaling_16nodes_1MB,./data/leonardo/2025-10-07_18-16-52-218599
phase1_baseline_weak_scaling_32nodes_1MB,leonardo,32,l,100,1,csv,phase1_baseline_weak_scaling_32nodes_1MB,./data/leonardo/2025-10-07_18-16-59-155350
phase1_baseline_weak_scaling_64nodes_1MB,leonardo,64,l,100,1,csv,phase1_baseline_weak_scaling_64nodes_1MB,./data/leonardo/2025-10-07_18-17-06-357301
phase1_baseline_msg_scaling_16nodes_8B,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_8B,./data/leonardo/2025-10-07_18-17-12-997768
phase1_baseline_msg_scaling_16nodes_1KB,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_1KB,./data/leonardo/2025-10-07_18-17-20-220750
phase1_baseline_msg_scaling_16nodes_128KB,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_128KB,./data/leonardo/2025-10-07_18-17-27-075196
phase1_baseline_msg_scaling_16nodes_1MB,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_1MB,./data/leonardo/2025-10-07_18-17-34-036870
phase1_baseline_msg_scaling_16nodes_32MB,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_32MB,./data/leonardo/2025-10-07_18-17-40-645486
phase1_baseline_msg_scaling_16nodes_128MB,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_128MB,./data/leonardo/2025-10-07_18-17-47-222634
phase1_baseline_msg_scaling_16nodes_8B,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_8B,./data/leonardo/2025-10-07_18-33-32-737260
phase1_baseline_weak_scaling_2nodes_1MB,leonardo,2,l,100,1,csv,phase1_baseline_weak_scaling_2nodes_1MB,./data/leonardo/2025-10-07_18-33-47-911957
phase1_baseline_weak_scaling_4nodes_1MB,leonardo,4,l,100,1,csv,phase1_baseline_weak_scaling_4nodes_1MB,./data/leonardo/2025-10-07_18-33-55-366249
phase1_baseline_weak_scaling_8nodes_1MB,leonardo,8,l,100,1,csv,phase1_baseline_weak_scaling_8nodes_1MB,./data/leonardo/2025-10-07_18-34-02-651751
phase1_baseline_weak_scaling_16nodes_1MB,leonardo,16,l,100,1,csv,phase1_baseline_weak_scaling_16nodes_1MB,./data/leonardo/2025-10-07_18-34-09-192419
phase1_baseline_weak_scaling_32nodes_1MB,leonardo,32,l,100,1,csv,phase1_baseline_weak_scaling_32nodes_1MB,./data/leonardo/2025-10-07_18-34-15-920673
phase1_baseline_weak_scaling_64nodes_1MB,leonardo,64,l,100,1,csv,phase1_baseline_weak_scaling_64nodes_1MB,./data/leonardo/2025-10-07_18-34-23-222288
phase1_baseline_msg_scaling_16nodes_8B,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_8B,./data/leonardo/2025-10-07_18-34-30-638654
phase1_baseline_msg_scaling_16nodes_1KB,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_1KB,./data/leonardo/2025-10-07_18-34-37-933013
phase1_baseline_msg_scaling_16nodes_128KB,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_128KB,./data/leonardo/2025-10-07_18-34-45-294560
phase1_baseline_msg_scaling_16nodes_1MB,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_1MB,./data/leonardo/2025-10-07_18-34-52-591496
phase1_baseline_msg_scaling_16nodes_32MB,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_32MB,./data/leonardo/2025-10-07_18-34-59-769724
phase1_baseline_msg_scaling_16nodes_128MB,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_128MB,./data/leonardo/2025-10-07_18-35-06-388160
phase1_baseline_weak_scaling_2nodes_1MB,leonardo,2,l,100,1,csv,phase1_baseline_weak_scaling_2nodes_1MB,./data/leonardo/2025-10-07_18-42-32-519223
phase1_baseline_weak_scaling_4nodes_1MB,leonardo,4,l,100,1,csv,phase1_baseline_weak_scaling_4nodes_1MB,./data/leonardo/2025-10-07_18-42-39-638928
phase1_baseline_weak_scaling_8nodes_1MB,leonardo,8,l,100,1,csv,phase1_baseline_weak_scaling_8nodes_1MB,./data/leonardo/2025-10-07_18-42-46-171984
phase1_baseline_weak_scaling_16nodes_1MB,leonardo,16,l,100,1,csv,phase1_baseline_weak_scaling_16nodes_1MB,./data/leonardo/2025-10-07_18-42-53-604075
phase1_baseline_weak_scaling_32nodes_1MB,leonardo,32,l,100,1,csv,phase1_baseline_weak_scaling_32nodes_1MB,./data/leonardo/2025-10-07_18-43-00-975905
phase1_baseline_weak_scaling_64nodes_1MB,leonardo,64,l,100,1,csv,phase1_baseline_weak_scaling_64nodes_1MB,./data/leonardo/2025-10-07_18-43-08-746815
phase1_baseline_msg_scaling_16nodes_8B,leonardo,16,l,100,1,csv,phase1_baseline_msg_scaling_16nodes_8B,./data/leonardo/2025-10-07_18-43-15-819001
