app_mix,system,numnodes,allocation_mode,allocation_split,ppn,out_format,extra,path
leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_16-14-12
leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_16-17-11
leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_16-18-12
leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_16-23-48
leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_16-27-01
leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_16-27-44
leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_16-47-55
leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_17-14-49
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_18-51-05-748626
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_18-55-38-298768
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_19-25-46-265136
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_19-39-56-838997
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_19-44-15-121607
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_19-54-20-137224
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_19-55-32-496678
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_19-56-17-039918
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_19-57-06-840187
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_19-59-37-635833
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_20-03-15-200350
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_20-04-51-514300
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_20-05-34-514912
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_20-16-10-415229
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_20-33-21-794428
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_20-36-19-140567
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_20-42-00-412781
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_20-48-51-898180
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_21-35-01-757377
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_21-52-18-455988
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_21-55-27-471476
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_21-58-06-288185
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_22-09-16-763312
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_22-22-41-850159
stress_test_4nodi_single_node_jobs,leonardo,4,l,e,1,csv,stress_test_4nodi_single_node_jobs,./data/leonardo/2025-10-02_22-24-41-378429
