app_mix,system,numnodes,allocation_mode,allocation_split,ppn,out_format,extra,path
8_node_asymmetric_strong_aggressor,leonardo,8,i,25:75,1,csv,8_node_asymmetric_strong_aggressor,./data/leonardo/2025-10-06_16-36-16-443254
4_node_baseline_no_interference,leonardo,4,None,None,1,csv,4_node_baseline_no_interference,./data/leonardo/2025-10-06_16-36-36-938043
8_node_linear_isolation_test,leonardo,8,l,50:50,1,csv,8_node_linear_isolation_test,./data/leonardo/2025-10-06_16-36-49-789981
8_node_multiple_aggressors,leonardo,8,i,50:25:25,1,csv,8_node_multiple_aggressors,./data/leonardo/2025-10-06_16-36-59-199531
4_node_baseline_no_interference,leonardo,4,None,None,1,csv,4_node_baseline_no_interference,./data/leonardo/2025-10-06_16-43-11-155608
4_node_baseline_no_interference,leonardo,4,None,None,1,csv,4_node_baseline_no_interference,./data/leonardo/2025-10-06_17-02-41-287460
4_node_baseline_no_interference,leonardo,4,None,None,1,csv,4_node_baseline_no_interference,./data/leonardo/2025-10-06_17-30-42-080821
4_node_baseline_no_interference,leonardo,4,None,None,1,csv,4_node_baseline_no_interference,./data/leonardo/2025-10-06_17-38-35-436424
4_node_baseline_no_interference,leonardo,4,None,None,1,csv,4_node_baseline_no_interference,./data/leonardo/2025-10-06_17-49-02-227590
4_node_baseline_in_8_node_alloc,leonardo,8,l,50:50,1,csv,4_node_baseline_in_8_node_alloc,./data/leonardo/2025-10-06_17-57-27-209512
4_node_baseline_in_8_node_alloc,leonardo,8,l,50:50,1,csv,4_node_baseline_in_8_node_alloc,./data/leonardo/2025-10-06_18-04-42-902095
4_node_baseline_in_8_node_alloc,leonardo,8,l,50:50,1,csv,4_node_baseline_in_8_node_alloc,./data/leonardo/2025-10-06_18-06-59-692942
8_node_asymmetric_strong_aggressor,leonardo,8,i,25:75,1,csv,8_node_asymmetric_strong_aggressor,./data/leonardo/2025-10-06_18-10-41-155842
baseline_run_in_4_node_alloc,leonardo,4,None,None,1,csv,baseline_run_in_4_node_alloc,./data/leonardo/2025-10-06_18-12-50-996069
8_node_asymmetric_strong_aggressor,leonardo,8,i,25:75,1,csv,8_node_asymmetric_strong_aggressor,./data/leonardo/2025-10-06_18-49-51-057513
baseline_run_in_4_node_alloc,leonardo,4,None,None,1,csv,baseline_run_in_4_node_alloc,./data/leonardo/2025-10-06_18-50-17-090890
8_node_linear_isolation_test,leonardo,8,l,50:50,1,csv,8_node_linear_isolation_test,./data/leonardo/2025-10-06_18-50-29-328115
8_node_multiple_aggressors,leonardo,8,i,50:25:25,1,csv,8_node_multiple_aggressors,./data/leonardo/2025-10-06_18-50-41-089784
baseline_run_in_4_node_alloc,leonardo,4,None,None,1,csv,baseline_run_in_4_node_alloc,./data/leonardo/2025-10-06_19-42-33-448164
8_node_light_victim_baseline,leonardo,8,i,100,1,csv,8_node_light_victim_baseline,./data/leonardo/2025-10-07_10-04-21-383034
8_node_medium_victim_baseline,leonardo,8,i,100,1,csv,8_node_medium_victim_baseline,./data/leonardo/2025-10-07_10-13-27-235296
8_node_medium_victim_baseline_20runs,leonardo,8,i,100,1,csv,8_node_medium_victim_baseline_20runs,./data/leonardo/2025-10-07_10-17-43-527949
8_node_medium_victim_strong_aggressor_20runs,leonardo,8,i,25:75,1,csv,8_node_medium_victim_strong_aggressor_20runs,./data/leonardo/2025-10-07_10-26-04-147018
8_node_64MB_victim_baseline,leonardo,8,i,100,1,csv,8_node_64MB_victim_baseline,./data/leonardo/2025-10-07_10-31-40-511106
8_node_20s_victim_baseline,leonardo,8,i,100,1,csv,8_node_20s_victim_baseline,./data/leonardo/2025-10-07_10-38-26-550286
8_node_20s_victim_baseline,leonardo,8,i,100,1,csv,8_node_20s_victim_baseline,./data/leonardo/2025-10-07_10-44-11-055481
8_node_medium_victim_baseline_20runs,leonardo,8,i,100,1,csv,8_node_medium_victim_baseline_20runs,./data/leonardo/2025-10-07_10-50-19-512985
8_node_medium_victim_baseline_20runs,leonardo,8,i,100,1,csv,8_node_medium_victim_baseline_20runs,./data/leonardo/2025-10-07_10-55-08-748205
8_node_medium_victim_baseline_20runs,leonardo,8,i,100,1,csv,8_node_medium_victim_baseline_20runs,./data/leonardo/2025-10-07_11-15-33-650925
8_node_64MB_victim_baseline,leonardo,8,i,100,1,csv,8_node_64MB_victim_baseline,./data/leonardo/2025-10-07_11-19-23-619746
8_node_64MB_victim_baseline,leonardo,8,i,100,1,csv,8_node_64MB_victim_baseline,./data/leonardo/2025-10-07_11-24-54-268197
8_node_128MB_victim_baseline,leonardo,8,l,100,1,csv,8_node_128MB_victim_baseline,./data/leonardo/2025-10-07_13-20-25-381712
12_node_128MB_victim_light_aggressor_linear,leonardo,12,l,75:25,1,csv,12_node_128MB_victim_light_aggressor_linear,./data/leonardo/2025-10-07_13-27-38-453895
12_node_128MB_victim_light_aggressor_linear,leonardo,12,i,75:25,1,csv,12_node_128MB_victim_light_aggressor_linear,./data/leonardo/2025-10-07_13-42-20-153237
12_node_128MB_victim_light_aggressor_linear,leonardo,32,l,25:75,1,csv,12_node_128MB_victim_light_aggressor_linear,./data/leonardo/2025-10-07_13-46-35-395388
12_node_128MB_victim_light_aggressor_linear,leonardo,32,i,25:75,1,csv,12_node_128MB_victim_light_aggressor_linear,./data/leonardo/2025-10-07_13-50-08-916059
