run_id,0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
1,0.007434305,0.007022914,0.007906205,0.00737096,0.007906205
1,0.005485506,0.005023938,0.006503177,0.005362561,0.006503177
1,0.004681553,0.004538546,0.004836402,0.004676733,0.004554584
1,0.005096514,0.004667641,0.005853384,0.005026579,0.005853384
1,0.005792443,0.005738514,0.005818332,0.005798354,0.005795148
1,0.009959669,0.009634199,0.010111492,0.009999005,0.010111492
1,0.008055834,0.007519815,0.008730008,0.007913188,0.007845913
1,0.004732721,0.004629501,0.004763711,0.004748113,0.004629501
1,0.004576661,0.004495284,0.004848577,0.004534004,0.004504418
1,0.005809105,0.005733288,0.005930581,0.005802666,0.005798607
1,0.004475813,0.004367733,0.004515424,0.004508359,0.004507046
1,0.003715219,0.003663582,0.003745193,0.003714272,0.003714249
1,0.003288096,0.003158535,0.003482874,0.003262331,0.003230088
1,0.003634134,0.003567956,0.003701581,0.003640621,0.003572195
1,0.003377584,0.003322045,0.003460853,0.003351121,0.00335499
1,0.003651534,0.003542088,0.003771667,0.003609204,0.003562222
1,0.003428652,0.003284255,0.003639958,0.003438757,0.003287465
1,0.003562227,0.003479551,0.003766615,0.00354451,0.003504937
1,0.003885475,0.003664508,0.004096975,0.003912697,0.003771767
1,0.00419506,0.004098053,0.004363302,0.004174762,0.004135882
1,0.004616154,0.004337578,0.00486494,0.00457642,0.004599447
1,0.00450087,0.004258959,0.004886495,0.004480313,0.00478977
1,0.004281611,0.004060886,0.004657638,0.004224497,0.004619252
1,0.003246455,0.003201977,0.003279687,0.0032454,0.003256814
1,0.003259405,0.003098202,0.003476996,0.003270465,0.003293103
1,0.003540782,0.003349278,0.003871412,0.003539065,0.003349278
1,0.003844116,0.003600666,0.004238567,0.003733986,0.003600666
1,0.003933677,0.003807985,0.004001607,0.003953211,0.003885932
1,0.003698305,0.003574947,0.003871661,0.003686287,0.003574947
1,0.003440321,0.003364535,0.003532368,0.003445518,0.003443048
1,0.004039159,0.003845539,0.004281051,0.003994378,0.004279586
1,0.004364982,0.004242013,0.004571517,0.004306262,0.004490803
1,0.004561199,0.004501895,0.004641934,0.004559321,0.004551755
1,0.00435143,0.004259885,0.004483488,0.004345936,0.00435127
1,0.003772185,0.003508388,0.003998077,0.003752023,0.003921702
1,0.003763461,0.003641635,0.00393805,0.003731476,0.003842339
1,0.003786285,0.00359804,0.00396692,0.003797703,0.003702031
1,0.003542437,0.003489503,0.00376128,0.003513423,0.003517882
1,0.003796412,0.003532997,0.004036392,0.003833809,0.003840846
1,0.004073004,0.003834317,0.004367885,0.004043247,0.004342331
1,0.004752682,0.00448987,0.005160638,0.004708096,0.004572315
1,0.005043614,0.004748738,0.005179947,0.005085953,0.005129144
1,0.004453259,0.004160469,0.004944939,0.004322497,0.004311975
1,0.00397068,0.003767761,0.004136052,0.003972959,0.003968872
1,0.004085109,0.003960809,0.00427562,0.004052447,0.004052419
1,0.003656272,0.003403639,0.003927917,0.003658256,0.003564753
1,0.003944052,0.003799847,0.004209191,0.00396806,0.004000047
1,0.003857656,0.003532973,0.004044513,0.003868483,0.003776155
1,0.003640014,0.003500594,0.003796661,0.003617288,0.003796661
1,0.003699513,0.003559132,0.00393854,0.003616965,0.00393854
2,0.007575112,0.007181248,0.008048697,0.007511907,0.008018415
2,0.004690749,0.004491356,0.005182453,0.004534827,0.005103863
2,0.005097466,0.004600313,0.006178343,0.0049593,0.006178343
2,0.004832165,0.004662978,0.005073291,0.00483812,0.004860961
2,0.005070199,0.005062482,0.005095543,0.005067046,0.005067733
2,0.009713664,0.00963326,0.009839882,0.009688942,0.009638848
2,0.01124741,0.010142483,0.011915268,0.011464544,0.011871361
2,0.008989564,0.008418778,0.009901407,0.00874519,0.008479367
2,0.009161267,0.008267302,0.009982875,0.009030306,0.009982875
2,0.011350819,0.011271463,0.011426763,0.011351706,0.011350072
2,0.005044218,0.004578424,0.00538003,0.00507629,0.00538003
2,0.004355736,0.004002034,0.004690402,0.004366741,0.004633929
2,0.004168419,0.004026218,0.004259408,0.004191809,0.004226608
2,0.003375386,0.003206392,0.003827795,0.003252335,0.003259913
2,0.003785739,0.003627974,0.00385291,0.003796254,0.003796895
2,0.004027432,0.003798865,0.004140388,0.004042615,0.004140388
2,0.003538784,0.003439541,0.003702141,0.003531789,0.003551629
2,0.00413334,0.003898422,0.004275083,0.004143542,0.004188815
2,0.003593638,0.003390897,0.003704725,0.003616647,0.003657906
2,0.004313361,0.004085053,0.004622374,0.004276345,0.004534651
2,0.003937702,0.003613245,0.004407634,0.00392914,0.003819556
2,0.004457773,0.004130871,0.004725253,0.004423112,0.004695479
2,0.004753894,0.004598795,0.00494132,0.004740728,0.004833198
2,0.00501981,0.004611095,0.005600884,0.005050505,0.005251481
2,0.00453035,0.004309826,0.004770572,0.004560391,0.004770572
2,0.004651048,0.004462133,0.004901238,0.004675802,0.004679065
2,0.004464973,0.004275503,0.004676166,0.004467208,0.004588575
2,0.004267822,0.003902221,0.004657662,0.004248307,0.004464376
2,0.00385665,0.003776742,0.003957829,0.003849868,0.003776742
2,0.004308772,0.003999181,0.00457012,0.004306292,0.00447888
2,0.003995595,0.003859639,0.004333558,0.003921259,0.003891129
2,0.003803547,0.003653746,0.004064726,0.003783206,0.003752587
2,0.004618675,0.004424389,0.004768666,0.004617176,0.00454118
2,0.004045222,0.003900966,0.004407581,0.00400222,0.003918703
2,0.00468502,0.004413109,0.005081342,0.004628066,0.004640335
2,0.00462891,0.004158598,0.005076893,0.00466815,0.005076893
2,0.005157115,0.004814504,0.005802982,0.005082635,0.005802982
2,0.004232538,0.00411228,0.004447859,0.004188632,0.004283255
2,0.00436571,0.004154091,0.004470232,0.004396821,0.004470232
2,0.004041876,0.003969174,0.004294859,0.00402239,0.003996449
2,0.004225863,0.004148804,0.004428815,0.004198694,0.004386877
2,0.004040867,0.003845037,0.004303911,0.004076279,0.004115563
2,0.00404485,0.003851927,0.004396702,0.003985658,0.004396702
2,0.00443777,0.004210587,0.004616919,0.004482172,0.00443527
2,0.004294293,0.00410648,0.004645375,0.00425481,0.004462515
2,0.003585264,0.003298306,0.003811519,0.00359575,0.003568353
2,0.003961851,0.003716349,0.004284282,0.003944334,0.004077444
2,0.004374419,0.004018061,0.004806078,0.004432833,0.004593854
2,0.003726293,0.003389153,0.003890513,0.003775486,0.003890513
2,0.003938014,0.003785934,0.004111033,0.003905474,0.003967532
3,0.008286218,0.00801145,0.008477106,0.008328414,0.008390451
3,0.004384845,0.004023738,0.004652686,0.004479283,0.004627129
3,0.004414501,0.004112752,0.004821131,0.00443872,0.004821131
3,0.004440299,0.004277254,0.004592306,0.00444575,0.004341659
3,0.005017366,0.004944636,0.005187075,0.005015928,0.005025065
3,0.011609314,0.011181443,0.01206378,0.011581475,0.01206378
3,0.00654583,0.006430907,0.00667183,0.006563721,0.006671493
3,0.008406181,0.007877843,0.008762277,0.008466532,0.008285528
3,0.011990427,0.010550341,0.013435412,0.011871094,0.013435412
3,0.011704838,0.011661784,0.011835693,0.011691035,0.011761872
3,0.004098619,0.003808437,0.004263745,0.004070417,0.004207029
3,0.004041305,0.00389508,0.004181398,0.004036116,0.00389508
3,0.003503543,0.003395794,0.003658263,0.003482266,0.003658263
3,0.003812266,0.003686415,0.003908052,0.003839575,0.003887194
3,0.003441641,0.003312694,0.003560226,0.003452478,0.003517897
3,0.003516031,0.003296984,0.00381341,0.003465388,0.00381341
3,0.00376767,0.003432725,0.004174885,0.003746284,0.004130558
3,0.003620712,0.003462595,0.003904704,0.003585111,0.003896624
3,0.004003132,0.003659108,0.004432958,0.003985364,0.003959151
3,0.003921131,0.003748426,0.004205286,0.003891164,0.003748426
3,0.003906468,0.00363011,0.004105572,0.003948137,0.004048114
3,0.003958368,0.00382578,0.004108542,0.003940108,0.003989705
3,0.003609428,0.003514697,0.003812047,0.003573083,0.003589156
3,0.003947316,0.003689783,0.004139232,0.003986115,0.004007588
3,0.003748233,0.003563314,0.003980615,0.003698348,0.003563314
3,0.003882138,0.003738631,0.004126424,0.003823775,0.00405946
3,0.004091522,0.003934175,0.004269324,0.004102166,0.00424885
3,0.003383461,0.003168888,0.003594158,0.003361201,0.003301151
3,0.003670466,0.003440967,0.00386555,0.003661336,0.00386555
3,0.003494353,0.003292366,0.003760684,0.003511468,0.003465192
3,0.003865513,0.003739796,0.004021524,0.003865924,0.003944213
3,0.003860757,0.003470389,0.004339833,0.003845222,0.004339833
3,0.003498237,0.003321872,0.003753576,0.003473909,0.00348893
3,0.003415119,0.003320723,0.003588049,0.003401718,0.003449253
3,0.003902177,0.003734844,0.004110614,0.003886137,0.003958295
3,0.003356717,0.003254132,0.003533466,0.003328177,0.003480103
3,0.00382498,0.003688191,0.003990626,0.003782872,0.00383294
3,0.003605462,0.003492945,0.003660128,0.003602775,0.003622482
3,0.003382366,0.003245538,0.003630933,0.00336434,0.003400118
