0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
0.161145948,0.154782167,0.167498557,0.161151533,0.154813858
0.098789703,0.096601365,0.100983956,0.098786746,0.096601365
0.106885051,0.104807994,0.108961301,0.106885455,0.104809641
0.103511483,0.097240171,0.10978243,0.103511665,0.097240171
0.107810751,0.107809739,0.107811885,0.107810689,0.107810905
0.210942438,0.210916267,0.210960334,0.210946575,0.21095769
0.116442481,0.11586415,0.117013253,0.11644626,0.117011536
0.126062653,0.12555792,0.12657609,0.126058301,0.126523287
0.125521293,0.125095075,0.125918897,0.125535601,0.125095075
0.129716915,0.129651596,0.129741583,0.129737241,0.129735443
0.088871349,0.084651399,0.090646741,0.090093629,0.084651399
0.085709904,0.085689421,0.085724978,0.085712608,0.085707736
0.094400772,0.09437552,0.094410103,0.094408732,0.094408169
0.095771011,0.095753134,0.095778718,0.095776096,0.095753134
0.095999345,0.095991195,0.096004069,0.096001057,0.095991195
0.095708019,0.095704204,0.095712009,0.095707932,0.095706759
0.094148528,0.094058648,0.094238635,0.094148415,0.094058648
0.095783807,0.095491173,0.096093577,0.095775239,0.095491173
0.094741546,0.09470734,0.094768191,0.094745327,0.09470734
0.095900843,0.09588912,0.095909989,0.095902133,0.095898287
0.096343269,0.096331496,0.096347865,0.096346858,0.096331496
0.096112783,0.096085555,0.096123188,0.096121195,0.096085555
0.096002588,0.095996201,0.096006286,0.096003932,0.095996201
0.095936129,0.09592565,0.095941143,0.095938862,0.09592565
0.095805136,0.095759676,0.095826957,0.095816956,0.095759676
0.096043252,0.096026173,0.096050852,0.096047992,0.096026173
0.096132816,0.096126102,0.096138458,0.096133352,0.096126102
0.095723217,0.095710782,0.095728281,0.095726903,0.095710782
0.09596548,0.095957744,0.095970239,0.095966968,0.095957744
0.095996192,0.095987472,0.095999835,0.095998731,0.095987472
0.095993087,0.095983739,0.09599697,0.095995819,0.095983739
0.099763132,0.097529109,0.100893066,0.100315177,0.097529109
0.08987233,0.089832675,0.089895861,0.089880391,0.089832675
0.094674613,0.094655041,0.094687948,0.094677731,0.094670327
0.095762243,0.095744965,0.095768731,0.095767638,0.095744965
0.096139574,0.096110386,0.096150675,0.096148618,0.096110386
0.095907045,0.095896036,0.095914358,0.095908893,0.095896036
0.094584295,0.094532168,0.094603063,0.094600974,0.094532168
0.096158219,0.096149499,0.096162845,0.096160266,0.096149499
0.097343328,0.09733065,0.097365937,0.097338362,0.097339908
0.094905871,0.094887618,0.094916371,0.094909748,0.094887618
0.095689691,0.095679216,0.095700113,0.095689718,0.095684799
0.096016887,0.096001503,0.096024369,0.096020837,0.096001503
0.096006361,0.095993249,0.096012414,0.09600989,0.095993249
0.095809941,0.095793185,0.095817286,0.095814647,0.095793185
0.099963468,0.098283291,0.101529728,0.100020427,0.098283291
0.094934184,0.092365106,0.09581483,0.0957784,0.092365106
0.085896323,0.08479612,0.086981046,0.085904063,0.08479612
0.091860817,0.091829419,0.091909941,0.091851955,0.091846449
0.095916357,0.095887696,0.095942194,0.095917768,0.095900549
0.09591014,0.095875299,0.095922872,0.095921194,0.095875299
0.096182452,0.096163132,0.096190475,0.096188101,0.096163132
0.096367956,0.096360964,0.096371457,0.096369702,0.096360964
0.095982682,0.095965539,0.095990343,0.095987422,0.095986071
0.095468944,0.095463624,0.095472372,0.09546989,0.095463624
0.095846744,0.095838511,0.095851172,0.095848646,0.095838511
0.09602704,0.096022019,0.096031262,0.096027439,0.096022019
0.095928251,0.095920248,0.095932353,0.095930201,0.095920248
0.096129478,0.096108276,0.096138064,0.096135787,0.096108276
0.095898014,0.095887216,0.095904508,0.095900167,0.095887216
0.095918785,0.095911619,0.095922851,0.095920334,0.095911619
0.096723406,0.096227284,0.097226144,0.096720099,0.096231786
0.093921089,0.093870267,0.093946978,0.093933556,0.093870267
0.094737217,0.094713524,0.094764579,0.094735382,0.094720521
0.095478715,0.09546971,0.095488501,0.095478325,0.095471999
0.095855923,0.095847647,0.095860933,0.095857556,0.095847647
0.095645843,0.095631347,0.095652801,0.095649613,0.095631347
0.095885267,0.095871031,0.095892088,0.095888974,0.095871031
0.095766912,0.095763441,0.095769759,0.095767224,0.095763441
0.095603064,0.095592409,0.095608308,0.095605769,0.095592409
0.096350506,0.096330827,0.096358325,0.096356436,0.096330827
0.096498119,0.096480077,0.096505858,0.096503271,0.096480077
0.095961922,0.095932719,0.09597313,0.09597092,0.095932719
0.09620801,0.096195201,0.096213537,0.09621165,0.096195201
0.096086833,0.09607307,0.096093898,0.096090181,0.09607307
0.100728171,0.098707064,0.102402475,0.100901573,0.098707064
0.096326131,0.093058776,0.097419596,0.097413076,0.093058776
0.083760548,0.083754472,0.083771118,0.083758301,0.083754472
0.093866161,0.093834169,0.093904684,0.093862895,0.093858215
0.095382129,0.095353551,0.095395919,0.095389523,0.095384548
0.095847594,0.095823365,0.095857162,0.095854926,0.095823365
0.095893176,0.095869196,0.095903531,0.095899989,0.095869196
0.095881392,0.095866937,0.095888233,0.095885199,0.095866937
0.096246871,0.096080644,0.09640498,0.09625093,0.096080644
0.095020294,0.09500051,0.095045066,0.095017801,0.09500051
0.095707594,0.095691529,0.095722625,0.095708111,0.095695754
0.095996153,0.095968263,0.096006776,0.096004786,0.095968263
0.096000971,0.095983435,0.096009478,0.096005485,0.095983435
0.095916095,0.095897922,0.095923725,0.095921366,0.095897922
0.095948042,0.095929592,0.095955877,0.095953349,0.095929592
0.097209454,0.097035411,0.097337118,0.097232644,0.097035411
0.092436344,0.09142174,0.09318758,0.092568028,0.09142174
0.093402875,0.093056441,0.093520094,0.093517482,0.093056441
0.093778754,0.093724241,0.093837023,0.093776876,0.093724241
0.095283213,0.095261184,0.095310143,0.095280763,0.095261184
0.095613225,0.09558372,0.095627654,0.095620762,0.095616435
0.09574612,0.095731357,0.095755275,0.095748925,0.095731357
0.09592243,0.095909741,0.095928325,0.095925827,0.095909741
0.096132594,0.096111863,0.096140833,0.096138841,0.096111863
0.095182759,0.095166594,0.095190812,0.095186814,0.095166594
0.095734031,0.095714615,0.095742072,0.095739719,0.095714615
0.095972815,0.095964785,0.095978108,0.095974184,0.095964785
0.095937466,0.095917543,0.095944875,0.095943723,0.095917543
0.095751656,0.095732768,0.0957596,0.095757128,0.095732768
0.095925281,0.095904392,0.095934622,0.095931055,0.095904392
0.100229871,0.098468579,0.101990543,0.10023018,0.098486945
0.090567649,0.090529988,0.09059395,0.090573328,0.090529988
0.094839908,0.094816833,0.094866831,0.094837984,0.094824577
0.095023833,0.095006075,0.095058093,0.095015581,0.095011026
0.095256255,0.095226548,0.095284807,0.095256833,0.095243379
0.095777765,0.095760015,0.095787896,0.095781575,0.095780522
0.095931445,0.095927337,0.095934422,0.095932011,0.095927337
0.096285734,0.096233377,0.096307192,0.096301184,0.096233377
0.097586103,0.097491172,0.097680116,0.097586563,0.097495131
0.094883675,0.094836927,0.09491032,0.094893726,0.094836927
0.095537095,0.095515361,0.095552104,0.095540457,0.095535323
0.096056223,0.096037875,0.096063493,0.096061761,0.096037875
0.096329212,0.096319269,0.09633407,0.096331754,0.096319269
0.096069163,0.096009877,0.096090697,0.096088039,0.096009877
0.096419419,0.096408926,0.096423797,0.096422476,0.096408926
0.10073897,0.098845415,0.102387542,0.100861462,0.098845415
0.089196979,0.089133793,0.089234377,0.089209874,0.089133793
0.094349244,0.094326496,0.094374788,0.094347845,0.094362215
0.095608606,0.095580655,0.095625309,0.09561423,0.095604758
0.09610395,0.096089058,0.096111335,0.096107704,0.096089058
0.095987172,0.09596674,0.095996041,0.095992954,0.09596674
0.09606631,0.096050512,0.096073321,0.096070703,0.096050512
0.095775061,0.095754425,0.095784235,0.095780792,0.095754425
0.095880911,0.095866352,0.095898462,0.095879414,0.095866352
0.103832486,0.100883777,0.105384057,0.104531055,0.100883777
0.094201365,0.094191635,0.094206895,0.094203466,0.094206895
0.093770274,0.093242558,0.093958337,0.093940101,0.093242558
0.092824084,0.0908495,0.093798779,0.093324028,0.0908495
0.092688019,0.090168839,0.093868586,0.093357325,0.090168839
0.090157679,0.087167859,0.091712353,0.090875253,0.087167859
0.096322456,0.096077884,0.096524413,0.096343763,0.096077884
0.095901453,0.0958871,0.095910973,0.095903868,0.0958871
0.095130284,0.095111474,0.09515769,0.095125986,0.095111474
0.095505827,0.095481822,0.095517995,0.095511745,0.095507197
0.095864171,0.095856662,0.09586939,0.095865315,0.095856662
0.095289954,0.095271045,0.095310055,0.095289359,0.095271045
0.095378484,0.095366427,0.095388351,0.095379579,0.095375769
0.096016149,0.096001665,0.096022451,0.09602024,0.096001665
0.096379686,0.095628412,0.097125167,0.096382583,0.095628412
0.094340869,0.094323799,0.094374593,0.094332543,0.09432695
0.095470314,0.0954488,0.095483899,0.095474278,0.095466132
0.09603425,0.096019637,0.096041276,0.096038043,0.096019637
0.096101108,0.096066315,0.096114634,0.096111741,0.096066315
0.095938095,0.095922727,0.095945477,0.095942088,0.095922727
0.096011,0.095995514,0.09601706,0.096015713,0.095995514
0.100177646,0.098180373,0.102146539,0.100191836,0.098252223
0.090297047,0.090201109,0.090366441,0.090310318,0.090291367
0.091529552,0.091142692,0.091941914,0.091516802,0.091149537
0.093979937,0.093951483,0.094016794,0.093975736,0.093951483
0.095577081,0.095543828,0.095596061,0.095584217,0.095572865
0.095906879,0.095897015,0.095913326,0.095908588,0.095897015
0.09595466,0.095944585,0.095961563,0.095956246,0.095944585
0.096496105,0.09648384,0.096503011,0.096498785,0.09648384
0.098266904,0.097694019,0.098847814,0.098262891,0.09769828
0.093526177,0.093484045,0.093550797,0.093534933,0.093484045
0.095089238,0.095060834,0.09511474,0.095090689,0.095079696
0.095602508,0.095590708,0.095609728,0.095604798,0.095601545
0.09526777,0.095236931,0.095283397,0.095275377,0.095236931
0.096134795,0.09612431,0.09614078,0.096137045,0.09612431
0.095976772,0.095962951,0.0959825,0.095980819,0.095962951
0.095813766,0.095804288,0.095834673,0.095808052,0.095808738
0.095977046,0.095335653,0.096579884,0.095996323,0.095335653
0.094086681,0.094028456,0.094113245,0.094102512,0.094028456
0.095180593,0.095161292,0.095197916,0.095181583,0.095166299
