0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
0.197496437,0.186356139,0.208640806,0.197494402,0.208640806
0.113809322,0.112507856,0.115092628,0.113818402,0.112507856
0.114967884,0.110363197,0.119572448,0.114967945,0.110363197
0.101215547,0.096746719,0.105684006,0.101215732,0.096746719
0.107071442,0.10707102,0.107071878,0.107071435,0.10707113
0.229153772,0.22820308,0.230103682,0.229154164,0.230103682
0.126918837,0.125639158,0.127756629,0.12713978,0.127756629
0.118818642,0.118815058,0.118821373,0.118819069,0.118815058
0.128149778,0.124473815,0.129393258,0.12936602,0.129340018
0.116888855,0.116878937,0.116895626,0.116890428,0.116891752
0.100266829,0.100251179,0.100288343,0.100263897,0.100251179
0.101118078,0.101068729,0.101141851,0.101130866,0.101068729
0.100978735,0.100965101,0.100992139,0.10097885,0.100965821
0.101903719,0.10067438,0.103121545,0.101909475,0.100709939
0.105788941,0.105772545,0.105803547,0.105789836,0.10578696
0.10330252,0.10197003,0.104637559,0.103301246,0.10197003
0.104534545,0.104516717,0.104550393,0.104535534,0.10453039
0.104961242,0.103971868,0.105951506,0.104960796,0.103977518
0.102441037,0.102426215,0.102464774,0.10243658,0.102442481
0.103568281,0.102175938,0.104962584,0.103567301,0.102187132
0.102917301,0.102836799,0.10299679,0.102917807,0.10284938
0.104158965,0.102541758,0.105774848,0.104159628,0.102559693
0.103505753,0.103483735,0.103520466,0.103509405,0.103504935
0.101448126,0.101418303,0.101474093,0.101450054,0.101426783
0.103704082,0.102799827,0.104606587,0.103704958,0.102808894
0.102222329,0.102134606,0.102345621,0.102204544,0.102148042
0.104019692,0.102341217,0.105696662,0.104020444,0.102341217
0.101116837,0.101105787,0.101133939,0.101113811,0.101121448
0.105369709,0.103879612,0.106828491,0.105385366,0.103879612
0.104355214,0.104337352,0.104374497,0.104354504,0.104348803
0.103023062,0.101419159,0.104633821,0.103019633,0.101420575
0.104712838,0.104694338,0.104733134,0.10471194,0.104706575
0.110831747,0.110818034,0.110840103,0.110834426,0.110836669
0.110201479,0.110177342,0.110215645,0.110206465,0.110212752
0.10702967,0.105004256,0.10900412,0.107055152,0.105004256
0.112426058,0.112300035,0.112574519,0.112414838,0.112302523
0.108789344,0.108398752,0.109163184,0.10879772,0.108450118
0.107296456,0.105613564,0.108967141,0.10730256,0.105613564
0.112629714,0.111742556,0.113526682,0.11262481,0.111750337
0.105194384,0.10515577,0.105245713,0.105188026,0.10515577
0.112656209,0.112625679,0.112674963,0.112662098,0.112664694
0.113562118,0.113543992,0.113584611,0.113559934,0.113566628
0.116102894,0.116048887,0.116125085,0.116118802,0.116121423
0.107933996,0.106503964,0.109305051,0.107963486,0.106623756
0.115012992,0.114368095,0.115662535,0.11501067,0.114381847
0.106955052,0.105284067,0.108656302,0.10693992,0.105284067
0.104450017,0.104442461,0.10446414,0.104446734,0.104450304
0.100332184,0.100318452,0.100343506,0.100333389,0.100323659
0.103945275,0.102800258,0.105079817,0.103950512,0.10283268
0.101867337,0.101853384,0.101894956,0.101860503,0.101865168
0.099917728,0.09988363,0.099947732,0.099919775,0.099893518
0.104826642,0.104026958,0.105622505,0.104828552,0.104047338
0.099189534,0.099166377,0.099241815,0.099174971,0.099178081
0.101421739,0.099674651,0.103166028,0.101423138,0.099674651
0.105962581,0.105942376,0.105988234,0.105959857,0.105942376
0.104553324,0.103801691,0.105267261,0.104572171,0.103885071
0.101716173,0.101694978,0.101752781,0.101708466,0.101707943
0.103266234,0.101504528,0.105027941,0.103266233,0.101504528
0.104992794,0.104981613,0.105009336,0.104990114,0.104981613
0.0996537,0.099619229,0.099685428,0.099655071,0.099626512
0.102957916,0.101159119,0.104759238,0.102956654,0.101166688
0.102902041,0.102883987,0.102928767,0.102897705,0.102895745
0.102134358,0.100714435,0.103558567,0.102132214,0.1007184
0.104319662,0.104230958,0.104406182,0.104320754,0.104241592
0.100417082,0.100400414,0.100429261,0.100419326,0.100410602
0.107858636,0.107841481,0.107870532,0.107861265,0.107861548
0.101613101,0.10069673,0.10252817,0.101613751,0.10070354
0.105045203,0.104524266,0.105567737,0.105044405,0.104531046
0.099632584,0.099617467,0.099648335,0.099632266,0.099634452
0.101579218,0.100691174,0.102462087,0.101581806,0.100708744
0.1064924,0.106468468,0.10650685,0.106497141,0.106496938
0.103185561,0.102032984,0.104339312,0.103184975,0.102039973
0.104316069,0.104304885,0.104336225,0.104311582,0.104315928
0.098781934,0.098738997,0.098812931,0.098787905,0.098763742
0.100460648,0.100434954,0.100483534,0.100462052,0.100441638
0.102216416,0.100672005,0.103765491,0.102214084,0.100679592
0.104128733,0.104107744,0.104149212,0.104128989,0.104123013
0.101115936,0.10096947,0.101261615,0.101116331,0.100973237
0.105981406,0.105900803,0.1060196,0.10600261,0.106001615
0.102910454,0.102896911,0.102928721,0.102908092,0.102902892
0.101658094,0.100014978,0.103296204,0.101660596,0.100039436
0.10506325,0.105041486,0.10508554,0.105062988,0.105053617
0.100100757,0.100094016,0.100104161,0.100102426,0.100103325
0.114539133,0.114523601,0.114549799,0.114541566,0.114536857
0.116404566,0.116389963,0.116414211,0.116407045,0.116401942
0.115918943,0.115914907,0.115928263,0.115916301,0.11591547
0.116982019,0.116962386,0.117004705,0.116980493,0.116984726
0.114437891,0.114325424,0.114488545,0.114468797,0.114470452
0.123006508,0.122968589,0.123042606,0.123007419,0.12301512
0.12204554,0.121984645,0.12207514,0.122061187,0.122069079
0.119555,0.119380839,0.119631622,0.119603769,0.119615946
0.122483005,0.122414058,0.122531953,0.122493004,0.122511896
0.105661767,0.105648485,0.105680179,0.105659202,0.105659597
0.099713331,0.099704709,0.099727785,0.099710415,0.099704709
0.099872181,0.099663022,0.100076592,0.099874556,0.099672557
0.103117123,0.102395006,0.103845785,0.10311385,0.10241001
0.109854804,0.108513751,0.11121008,0.109847692,0.108534787
0.108105293,0.107245048,0.108964115,0.108106004,0.107249583
0.105259708,0.104310247,0.106241422,0.105243582,0.104335137
0.108356107,0.106789324,0.109852517,0.108391294,0.106960345
0.110739646,0.109859477,0.111608296,0.110745406,0.109899731
0.107098844,0.105908358,0.108301848,0.107092585,0.105922285
0.110163213,0.109363487,0.110927719,0.110180823,0.109444407
0.113179353,0.113119912,0.113264698,0.113166401,0.113119912
0.101879004,0.101855488,0.10190918,0.101875674,0.101881171
0.101441413,0.099596046,0.103275875,0.101446864,0.099596046
0.100693953,0.100659776,0.10073324,0.100691399,0.100679627
0.09965586,0.099651439,0.099661288,0.099655357,0.099661288
0.099302074,0.099195678,0.099403792,0.099304412,0.099206583
0.098923433,0.09874515,0.099095292,0.098926645,0.098758632
0.099125971,0.099109353,0.099137613,0.09912846,0.099122385
0.098411992,0.098393059,0.098422665,0.098416123,0.098411345
0.100235967,0.098970128,0.101465974,0.100253882,0.098970128
0.098413116,0.097373646,0.099451604,0.098413606,0.097402122
0.096205591,0.096195345,0.096215966,0.096205528,0.096215966
0.093596392,0.092947866,0.094229077,0.093604313,0.092985312
0.094054273,0.093765498,0.094344601,0.094053496,0.093819746
0.094901232,0.094134835,0.095664829,0.094902632,0.09415503
0.093187159,0.091521188,0.094868357,0.093179545,0.091521188
0.092420066,0.090333734,0.094520947,0.092412792,0.090338679
0.0921312,0.090696903,0.093566806,0.092130546,0.090724288
0.08953329,0.089324037,0.089743745,0.08953269,0.0893365
0.084713772,0.084183432,0.085244127,0.084713765,0.084184159
0.082780133,0.082153169,0.08340552,0.082780921,0.082157595
0.079825985,0.07858238,0.081007792,0.079856883,0.07858238
0.075209088,0.074815405,0.075587977,0.075216486,0.07486623
0.078728682,0.0783689,0.079102893,0.078721467,0.078381627
0.079275943,0.079218009,0.079342746,0.079271509,0.079218009
0.076907621,0.076895998,0.076920206,0.076907141,0.076898131
0.080539811,0.080106929,0.080966758,0.080542778,0.080106929
0.083316866,0.083007619,0.083629067,0.083315388,0.083016815
0.087635009,0.086001351,0.089117426,0.08771063,0.086001351
0.084759915,0.084341102,0.085189522,0.084754519,0.084342263
0.084842193,0.084827867,0.084858105,0.084841401,0.084843914
0.083130867,0.082978826,0.083276881,0.08313388,0.083009963
0.082237356,0.081379427,0.083092641,0.082238677,0.081399373
0.080077775,0.079416977,0.080738811,0.080077657,0.079416977
0.075749007,0.074814064,0.076684533,0.075748716,0.074814064
0.097048862,0.0959983,0.0981191,0.097039023,0.096002253
0.082951729,0.082392156,0.083512295,0.082951232,0.082402536
0.078784255,0.077990648,0.079574317,0.078786028,0.077990648
0.08807867,0.08767692,0.088483816,0.088076971,0.087702484
0.105864691,0.104514705,0.107200738,0.10587166,0.10457619
0.084922433,0.083667121,0.08616594,0.084928335,0.083696378
0.078635951,0.077775441,0.079508371,0.078629997,0.07777953
0.091086434,0.090112383,0.091912114,0.091160619,0.090420492
0.081824382,0.080331462,0.083330479,0.081817794,0.080336865
0.087450376,0.087434589,0.087469114,0.0874489,0.087434589
0.080994992,0.080326845,0.081661943,0.080995591,0.080331824
0.080212678,0.079694585,0.080735366,0.08021038,0.079694585
0.077635067,0.077202834,0.07807275,0.077632342,0.077203625
0.103196371,0.103135842,0.103223616,0.103213012,0.103220546
0.113294903,0.113116721,0.113419189,0.113321851,0.113116721
0.117371178,0.117180076,0.117465714,0.117419461,0.117180076
0.114201592,0.114059381,0.114279478,0.114233755,0.114235749
0.11730014,0.11711935,0.117478392,0.117301409,0.117126371
0.096002007,0.094853146,0.097153138,0.096000872,0.094853146
0.095641572,0.09405627,0.097205858,0.095652081,0.094133598
0.087719723,0.087275035,0.088155016,0.087724419,0.087311074
0.08110396,0.080464007,0.081749936,0.081100948,0.080467315
0.083359465,0.083201796,0.083515989,0.083360038,0.083211901
0.079389898,0.078840537,0.079937246,0.079390904,0.078859553
0.083490155,0.082795406,0.084184222,0.083490495,0.082808856
0.09150818,0.091125513,0.091897236,0.091504986,0.091126778
0.093257175,0.092895255,0.093615822,0.093258812,0.09290443
0.09014701,0.088795918,0.091501298,0.090145412,0.088814856
0.104004815,0.104000976,0.104006809,0.104005737,0.104005174
0.097831806,0.097802728,0.09784877,0.097837863,0.097831689
0.110107454,0.109102322,0.111089865,0.110118815,0.109164748
0.109842846,0.108310713,0.111386862,0.109836904,0.108310713
0.10968432,0.10855051,0.110760051,0.10971336,0.108711176
0.113496136,0.112087799,0.114902574,0.113497085,0.112115794
0.108238137,0.108199546,0.108268666,0.108242168,0.108199546
0.106621051,0.10642454,0.106700405,0.10667963,0.106669835
0.100955768,0.100632298,0.101283279,0.100953747,0.100639146
0.099830336,0.09981538,0.099838924,0.099833519,0.099836064
0.101850298,0.101842243,0.101854469,0.10185224,0.101853646
0.101469794,0.10142684,0.101486027,0.101483154,0.101486027
0.10256628,0.102548137,0.102573107,0.102571938,0.102572534
0.101244203,0.101183099,0.101274742,0.101259484,0.101259076
0.100015667,0.09899614,0.101044067,0.10001123,0.098996475
0.114590233,0.114562322,0.114621205,0.114588702,0.114613588
0.115896354,0.115811159,0.115949437,0.115912409,0.115811159
0.117554577,0.117518325,0.117602288,0.117548847,0.117531846
0.099838998,0.099827066,0.099847647,0.09984064,0.099827066
0.101654616,0.101642608,0.101660828,0.101657514,0.101659817
0.097576656,0.097471326,0.097674088,0.097580606,0.097487891
0.09325052,0.092330802,0.094147823,0.093261728,0.092385057
0.095955111,0.095140182,0.096809676,0.095935294,0.095146533
0.10156362,0.101556176,0.10157877,0.101559766,0.10157877
0.111383262,0.110639113,0.112116522,0.111388707,0.11066583
0.11444716,0.114158947,0.114760027,0.114434833,0.114167869
0.112655767,0.111238977,0.114072635,0.112655728,0.111238977
0.110025955,0.108926615,0.111130591,0.110023306,0.109001233
0.114264295,0.114247059,0.114274869,0.114267627,0.114260488
