0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
0.100989477,0.098720358,0.103261279,0.100988136,0.103255342
0.063932617,0.063930963,0.063934563,0.063932471,0.063932541
0.064978921,0.064967139,0.064990904,0.064978821,0.064967139
0.080483723,0.080479394,0.080487698,0.080483901,0.080481471
0.063440773,0.063438204,0.063442729,0.063441079,0.063438204
0.13947192,0.135914754,0.14065985,0.140656539,0.14065985
0.083603091,0.082900495,0.084287632,0.083612119,0.082900495
0.077634194,0.077632618,0.077636905,0.077633627,0.077634313
0.065145365,0.065143082,0.065146992,0.065145693,0.065143082
0.071757681,0.071755654,0.071759678,0.071757696,0.071755654
0.064081864,0.064063338,0.064090359,0.06408688,0.064084509
0.071676144,0.071671969,0.071678515,0.071677046,0.071671969
0.061191872,0.061187963,0.061194785,0.061192369,0.061187963
0.059868707,0.059851011,0.059876043,0.059873887,0.059874302
0.057798097,0.057772883,0.057807647,0.057805929,0.057806581
0.058060436,0.058031547,0.058071997,0.058069101,0.058069991
0.068690243,0.068672863,0.068697806,0.068695151,0.068695358
0.07065492,0.070650865,0.070658374,0.070655221,0.070650865
0.059186818,0.059184067,0.059188692,0.059187257,0.05918864
0.071038092,0.071035556,0.071040197,0.071038306,0.071035556
0.058420427,0.058391735,0.058432475,0.058428749,0.058391735
0.059959586,0.059948828,0.059964797,0.059962358,0.059963119
0.068710907,0.06870659,0.068713389,0.068711824,0.06870659
0.068758819,0.068755802,0.068760828,0.068759323,0.068755802
0.068098354,0.068095856,0.068100714,0.068098423,0.068095856
0.068145291,0.06814205,0.06814772,0.068145697,0.06814205
0.064815592,0.064810932,0.064818864,0.064816286,0.064810932
0.062280959,0.062278764,0.06228292,0.062281076,0.062278764
0.070807204,0.070805157,0.070809538,0.070807061,0.070805157
0.062823598,0.06282199,0.062825147,0.062823628,0.06282199
0.056033193,0.056028974,0.056037122,0.056033337,0.056032878
0.059851903,0.059838421,0.059857771,0.059855711,0.059856498
0.057241019,0.057239518,0.057241957,0.0572413,0.057239518
0.073336279,0.073333068,0.073337933,0.073337057,0.073333068
0.067371958,0.067371349,0.067372291,0.067372097,0.067371349
0.060284578,0.060281257,0.060286982,0.060285037,0.060281257
0.06701876,0.067017078,0.067020166,0.067018898,0.067017078
0.064029848,0.064017601,0.064040039,0.064030876,0.064040039
0.072744481,0.072702789,0.072767143,0.072753995,0.072702789
0.080368549,0.080364788,0.080371449,0.08036898,0.080364788
0.055522572,0.055517484,0.055525085,0.05552386,0.055524411
0.065960034,0.065956288,0.0659631,0.065960373,0.065956288
0.058531524,0.058514274,0.058538368,0.058536726,0.058537482
0.062170545,0.062168302,0.062171713,0.062171083,0.062168302
0.068933132,0.068928335,0.068936138,0.068934027,0.068928335
0.055852102,0.055850273,0.05585401,0.055852062,0.055850273
0.057491692,0.057490344,0.057494997,0.057490714,0.057490344
0.067192492,0.067186071,0.067195777,0.06719406,0.067186071
0.057219865,0.057218002,0.05722201,0.057219723,0.057220319
0.073915277,0.073910824,0.073918268,0.073916009,0.073910824
0.067871114,0.067836478,0.067884814,0.067881582,0.067879347
0.065271956,0.065268493,0.06527603,0.06527165,0.065269999
0.066254456,0.06623108,0.06626357,0.066261587,0.066259979
0.062579786,0.062577459,0.062582033,0.062579826,0.062577459
0.063973488,0.063971085,0.063975931,0.063973468,0.063974289
0.063518439,0.063515969,0.063520133,0.063518827,0.063515969
0.068205262,0.068202982,0.068208394,0.068204837,0.068202982
0.057953494,0.057952256,0.057955489,0.057953116,0.057952256
0.069407553,0.069404964,0.069409432,0.069407909,0.069404964
0.058109724,0.058108592,0.058111242,0.058109532,0.058108592
0.063905394,0.063899675,0.063909806,0.063906048,0.063899675
0.070728005,0.070675918,0.070748973,0.070743565,0.070738675
0.055435395,0.055432694,0.055437368,0.05543576,0.055434991
0.064522997,0.064514952,0.064527628,0.064524704,0.064514952
0.062713508,0.062708158,0.062716675,0.0627146,0.062708158
0.057401119,0.05735665,0.057417716,0.057415054,0.057415216
0.075036638,0.075034121,0.075039973,0.075036229,0.075034121
0.063124721,0.063118318,0.063128273,0.063126147,0.063128273
0.065782691,0.065770901,0.065789742,0.06578506,0.065783835
0.061725104,0.0617068,0.061733817,0.061729898,0.061726872
0.061268848,0.061265556,0.061271994,0.061268921,0.061265556
0.067830501,0.067816764,0.06783833,0.067833456,0.067828871
0.077205266,0.077202721,0.077206462,0.07720594,0.077202721
0.058061651,0.058050571,0.058065898,0.058065068,0.058064293
0.063558096,0.06355453,0.063560067,0.063558894,0.06355453
0.056869813,0.056867215,0.056871784,0.056870125,0.056870317
