run_id,0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
1,0.000459642,0.000451113,0.000469139,0.000459096,0.000451113
1,4.9792e-05,4.911e-05,5.1081e-05,4.9622e-05,4.9127e-05
1,4.7731e-05,4.6036e-05,4.873e-05,4.7874e-05,4.6879e-05
1,4.6706e-05,4.5708e-05,4.8427e-05,4.6489e-05,4.5708e-05
1,7.5212e-05,7.3554e-05,7.7857e-05,7.4623e-05,7.6764e-05
1,0.000145696,0.000143911,0.00014688,0.000146078,0.00014688
1,8.1351e-05,8.0784e-05,8.1949e-05,8.1369e-05,8.0784e-05
1,7.9941e-05,7.9396e-05,8.03e-05,8.0084e-05,7.9561e-05
1,8.1235e-05,8.0492e-05,8.1585e-05,8.1309e-05,8.1276e-05
1,8.8179e-05,8.6022e-05,9.1837e-05,8.7172e-05,8.6963e-05
1,7.3075e-05,6.903e-05,7.721e-05,7.2937e-05,7.1193e-05
1,3.9918e-05,3.8923e-05,4.0548e-05,3.9811e-05,3.9552e-05
1,3.8221e-05,3.7457e-05,3.9573e-05,3.812e-05,3.8246e-05
1,3.8669e-05,3.6607e-05,3.9724e-05,3.9015e-05,3.8997e-05
1,3.8201e-05,3.6252e-05,3.9868e-05,3.8191e-05,3.9868e-05
1,3.8074e-05,3.623e-05,3.9924e-05,3.8197e-05,3.8203e-05
1,3.8432e-05,3.8026e-05,3.8848e-05,3.8436e-05,3.8313e-05
1,3.9004e-05,3.7616e-05,4.1687e-05,3.8363e-05,3.786e-05
1,3.7414e-05,3.5822e-05,3.8065e-05,3.7778e-05,3.5822e-05
1,3.9454e-05,3.6192e-05,4.4011e-05,3.8759e-05,4.036e-05
1,3.7886e-05,3.6931e-05,3.9221e-05,3.7942e-05,3.7923e-05
1,3.7968e-05,3.6995e-05,3.9338e-05,3.789e-05,3.7191e-05
1,3.7979e-05,3.5648e-05,3.9233e-05,3.8054e-05,3.5648e-05
1,3.8379e-05,3.7363e-05,3.9298e-05,3.8501e-05,3.7363e-05
1,3.9816e-05,3.769e-05,4.422e-05,3.8921e-05,3.769e-05
1,4.4997e-05,4.3845e-05,4.5804e-05,4.5153e-05,4.4135e-05
1,3.9349e-05,3.7914e-05,4.1837e-05,3.8852e-05,4.1208e-05
1,3.7836e-05,3.5689e-05,3.9186e-05,3.794e-05,3.7594e-05
1,3.7029e-05,3.6172e-05,3.7654e-05,3.7247e-05,3.7654e-05
1,3.8576e-05,3.7914e-05,3.9149e-05,3.8595e-05,3.9017e-05
1,3.7897e-05,3.6438e-05,3.8907e-05,3.8075e-05,3.6438e-05
1,3.735e-05,3.6259e-05,3.8862e-05,3.7253e-05,3.6946e-05
1,4.0941e-05,3.7185e-05,4.446e-05,4.0778e-05,3.8079e-05
1,3.7786e-05,3.646e-05,3.9028e-05,3.8012e-05,3.646e-05
1,3.9259e-05,3.7578e-05,4.1754e-05,3.8988e-05,4.1754e-05
1,3.7561e-05,3.6842e-05,3.8437e-05,3.7569e-05,3.7902e-05
1,5.1665e-05,5.093e-05,5.2341e-05,5.1599e-05,5.2193e-05
1,3.7881e-05,3.686e-05,3.854e-05,3.7982e-05,3.8539e-05
1,3.8048e-05,3.722e-05,3.872e-05,3.8062e-05,3.863e-05
1,4.1705e-05,3.9216e-05,4.8915e-05,4.0191e-05,3.9216e-05
1,3.7853e-05,3.5749e-05,3.88e-05,3.8067e-05,3.8641e-05
1,3.8101e-05,3.7037e-05,3.9101e-05,3.8298e-05,3.7395e-05
1,3.8961e-05,3.592e-05,4.1738e-05,3.8832e-05,4.0546e-05
1,5.4921e-05,4.1764e-05,6.8411e-05,5.5045e-05,4.1764e-05
1,7.3264e-05,6.0012e-05,8.8081e-05,7.2498e-05,6.22e-05
1,7.8523e-05,5.6199e-05,9.9388e-05,7.7231e-05,6.6281e-05
1,7.2026e-05,5.8949e-05,8.7334e-05,7.18e-05,5.8949e-05
1,7.8519e-05,5.7116e-05,9.9015e-05,7.6999e-05,6.9494e-05
1,7.2817e-05,5.6555e-05,9.9687e-05,7.0585e-05,5.8573e-05
1,7.1281e-05,5.758e-05,8.6044e-05,7.0188e-05,5.8931e-05
1,7.3945e-05,5.8579e-05,8.5293e-05,7.6074e-05,6.9875e-05
1,6.6277e-05,5.8324e-05,7.168e-05,6.6887e-05,6.727e-05
1,3.8188e-05,3.7098e-05,3.9265e-05,3.8083e-05,3.8939e-05
1,3.8118e-05,3.6601e-05,3.9733e-05,3.7994e-05,3.7818e-05
1,3.9377e-05,3.8041e-05,4.1346e-05,3.9123e-05,3.8041e-05
1,3.8842e-05,3.7382e-05,3.9394e-05,3.8947e-05,3.7382e-05
1,3.8018e-05,3.7266e-05,3.8747e-05,3.7989e-05,3.8747e-05
1,3.8272e-05,3.7084e-05,3.8953e-05,3.8426e-05,3.8827e-05
